| Character   |   Char count |   Bit number |
| ч           |         3297 |           16 |
| ū           |         3289 |           16 |
| ы           |         3274 |           16 |
| า           |         3253 |           24 |
| М           |         3253 |           16 |
| ب           |         3252 |           16 |
| ク          |         3188 |           24 |
| ц           |         3181 |           16 |
| ร           |         3157 |           24 |
| ε           |         3151 |           16 |
| →           |         3128 |           24 |
| П           |         3120 |           16 |
| ן           |         3114 |           16 |
| ς           |         3079 |           16 |
| ń           |         3076 |           16 |
| س           |         3071 |           16 |
| د           |         3035 |           16 |
| Ö           |         3015 |           16 |
| ッ          |         3004 |           24 |
| ‘           |         2976 |           24 |
| ß           |         2966 |           16 |
| ž           |         2832 |           16 |
| ド          |         2814 |           24 |
| ი           |         2742 |           24 |
| Б           |         2740 |           16 |
| λ           |         2732 |           16 |
| ت           |         2698 |           16 |
| ī           |         2684 |           16 |
| ی           |         2663 |           16 |
| ə           |         2616 |           16 |
| フ          |         2555 |           24 |
| ф           |         2475 |           16 |
| κ           |         2456 |           16 |
| น           |         2438 |           24 |
| ロ          |         2397 |           24 |
| х           |         2377 |           16 |
| Р           |         2372 |           16 |
| ם           |         2354 |           16 |
| î           |         2337 |           16 |
| Г           |         2332 |           16 |
| σ           |         2304 |           16 |
| シ          |         2299 |           24 |
| В           |         2284 |           16 |
| 년          |         2247 |           24 |
| ィ          |         2242 |           24 |
| ジ          |         2236 |           24 |
| Á           |         2231 |           16 |
| Д           |         2213 |           16 |
| μ           |         2203 |           16 |
| マ          |         2173 |           24 |
| เ           |         2125 |           24 |
| ý           |         2122 |           16 |
| ע           |         2114 |           16 |
| `           |         2073 |            8 |
| υ           |         2064 |           16 |
| ж           |         2059 |           16 |
| ח           |         2053 |           16 |
| ì           |         2028 |           16 |
| ა           |         2021 |           24 |
| カ          |         2020 |           24 |
| ï           |         2004 |           16 |
| の          |         2002 |           24 |
| ę           |         1992 |           16 |
| อ           |         1984 |           24 |
| Å           |         1974 |           16 |
| ί           |         1953 |           16 |
| ม           |         1950 |           24 |
| レ          |         1948 |           24 |
| ē           |         1931 |           16 |
| Т           |         1921 |           16 |
| ウ          |         1904 |           24 |
| タ          |         1883 |           24 |
| ś           |         1875 |           16 |
| ก           |         1833 |           24 |
| ј           |         1818 |           16 |
| ı           |         1815 |           16 |
| ة           |         1784 |           16 |
| ò           |         1759 |           16 |
| ه           |         1746 |           16 |
| π           |         1739 |           16 |
| Л           |         1735 |           16 |
| ˈ           |         1722 |           16 |
| η           |         1711 |           16 |
| כ           |         1692 |           16 |
| 大          |         1676 |           24 |
| Х           |         1670 |           16 |
| ิ            |         1650 |           24 |
| ш           |         1649 |           16 |
| צ           |         1621 |           16 |
| ז           |         1615 |           16 |
| …           |         1598 |           24 |
| ː           |         1594 |           16 |
| オ          |         1592 |           24 |
| ţ           |         1587 |           16 |
| Н           |         1548 |           16 |
| ف           |         1528 |           16 |
| ą           |         1514 |           16 |
| テ          |         1508 |           24 |
| ე           |         1490 |           24 |
| ム          |         1464 |           24 |
| ล           |         1463 |           24 |
| デ          |         1450 |           24 |
| γ           |         1440 |           16 |
| ்            |         1437 |           24 |
| ė           |         1428 |           16 |
| ż           |         1425 |           16 |
| 世          |         1421 |           24 |
| 国          |         1418 |           24 |
| ъ           |         1407 |           16 |
| Ф           |         1399 |           16 |
| β           |         1395 |           16 |
| バ          |         1393 |           24 |
| û           |         1377 |           16 |
| И           |         1376 |           16 |
| Š           |         1371 |           16 |
| э           |         1368 |           16 |
| コ          |         1349 |           24 |
| エ          |         1348 |           24 |
| 学          |         1346 |           24 |
| グ          |         1343 |           24 |
| ع           |         1335 |           16 |
| ك           |         1334 |           16 |
| ³           |         1328 |           16 |
| 日          |         1321 |           24 |
| ニ          |         1320 |           24 |
| ั            |         1312 |           24 |
| ュ          |         1297 |           24 |
| რ           |         1286 |           24 |
| ю           |         1283 |           16 |
| ά           |         1282 |           16 |
| ี            |         1278 |           24 |
| −           |         1268 |           24 |
| О           |         1267 |           16 |
| ว           |         1267 |           24 |
| ์            |         1262 |           24 |
| ส           |         1255 |           24 |
| ブ          |         1244 |           24 |
| ェ          |         1235 |           24 |
| ย           |         1232 |           24 |
| 州          |         1223 |           24 |
| ナ          |         1216 |           24 |
| ा            |         1206 |           24 |
| 王          |         1205 |           24 |
| ャ          |         1194 |           24 |
| ्            |         1193 |           24 |
| ό           |         1191 |           16 |
| ج           |         1189 |           16 |
| ě           |         1186 |           16 |
| õ           |         1184 |           16 |
| ต           |         1177 |           24 |
| ح           |         1173 |           16 |
| ù           |         1142 |           16 |
| 斯          |         1141 |           24 |
| ش           |         1134 |           16 |
| Æ           |         1133 |           16 |
| キ          |         1127 |           24 |
| サ          |         1123 |           24 |
| §           |         1122 |           16 |
| Ø           |         1108 |           16 |
| ɛ           |         1104 |           16 |
| ř           |         1099 |           16 |
| ค           |         1090 |           24 |
| チ          |         1085 |           24 |
| đ           |         1073 |           16 |
| 스          |         1070 |           24 |
| ω           |         1069 |           16 |
| δ           |         1061 |           16 |
| Ó           |         1042 |           16 |
| ɪ           |         1038 |           16 |
| ミ          |         1023 |           24 |
| ز           |         1018 |           16 |
| ハ          |         1010 |           24 |
| ق           |          996 |           16 |
| ნ           |          993 |           24 |
| ო           |          993 |           24 |
| ´           |          992 |           16 |
| プ          |          989 |           24 |
| 子          |          985 |           24 |
| ヴ          |          978 |           24 |
| 月          |          975 |           24 |
| ด           |          972 |           24 |
| ท           |          969 |           24 |
| θ           |          966 |           16 |
| ง           |          959 |           24 |
| 天          |          952 |           24 |
| ダ          |          949 |           24 |
| ズ          |          947 |           24 |
| •           |          945 |           24 |
| Č           |          940 |           16 |
| þ           |          913 |           16 |
| 人          |          906 |           24 |
| พ           |          904 |           24 |
| 리          |          899 |           24 |
| ¹           |          893 |           16 |
| र           |          888 |           24 |
| ́            |          881 |           16 |
| Ś           |          873 |           16 |
| أ           |          871 |           16 |
| Е           |          871 |           16 |
| メ          |          857 |           24 |
| ョ          |          853 |           24 |
| ს           |          852 |           24 |
| Ü           |          850 |           16 |
| ½           |          847 |           16 |
| Î           |          846 |           16 |
| 이          |          843 |           24 |
| 中          |          841 |           24 |
| Đ           |          832 |           16 |
| パ          |          821 |           24 |
| 尔          |          819 |           24 |
| Ä           |          818 |           16 |
| †           |          811 |           24 |
| Ž           |          803 |           16 |
| Α           |          795 |           16 |
| έ           |          790 |           16 |
| 一          |          784 |           24 |
| ک           |          783 |           16 |
| ネ          |          782 |           24 |
| ɔ           |          781 |           16 |
| €           |          765 |           24 |
| ガ          |          763 |           24 |
| ァ          |          758 |           24 |
| ή           |          756 |           16 |
| ะ           |          752 |           24 |
| ®           |          751 |           16 |
| У           |          751 |           16 |
| ベ          |          739 |           24 |
| ლ           |          739 |           24 |
| ビ          |          737 |           24 |
| 皇          |          731 |           24 |
| ノ          |          730 |           24 |
| φ           |          727 |           16 |
| χ           |          722 |           16 |
| บ           |          718 |           24 |
| モ          |          717 |           24 |
| ʃ           |          716 |           16 |
| 德          |          700 |           24 |
| ุ            |          697 |           24 |
| ツ          |          694 |           24 |
| З           |          692 |           16 |
| ソ          |          683 |           24 |
| โ           |          681 |           24 |
| ่            |          678 |           24 |
| 克          |          678 |           24 |
| ி            |          673 |           24 |
| 아          |          669 |           24 |
| 代          |          667 |           24 |
| ő           |          666 |           16 |
| न           |          665 |           24 |
| მ           |          662 |           24 |
| ศ           |          662 |           24 |
| ط           |          661 |           16 |
| 法          |          661 |           24 |
| Ł           |          660 |           16 |
| ป           |          656 |           24 |
| ワ          |          655 |           24 |
| Ш           |          647 |           16 |
| ɑ           |          643 |           16 |
| 文          |          638 |           24 |
| ύ           |          628 |           16 |
| 海          |          628 |           24 |
| ğ           |          625 |           16 |
| म           |          621 |           24 |
| Ч           |          621 |           16 |
| セ          |          620 |           24 |
| 前          |          616 |           24 |
| 特          |          611 |           24 |
| 西          |          610 |           24 |
| ტ           |          607 |           24 |
| Э           |          606 |           16 |
| 山          |          605 |           24 |
| ピ          |          603 |           24 |
| া            |          599 |           24 |
| ि            |          596 |           24 |
| க           |          595 |           24 |
| ห           |          592 |           24 |
| ボ          |          584 |           24 |
| แ           |          580 |           24 |
| 일          |          576 |           24 |
| غ           |          576 |           16 |
| Σ           |          574 |           16 |
| ŋ           |          572 |           16 |
| Μ           |          567 |           16 |
| 郡          |          564 |           24 |
| ポ          |          561 |           24 |
| ּ            |          555 |           16 |
| จ           |          554 |           24 |
| ŭ           |          553 |           16 |
| 帝          |          552 |           24 |
| œ           |          549 |           16 |
| خ           |          547 |           16 |
| µ           |          547 |           16 |
| 拉          |          546 |           24 |
| ±           |          542 |           16 |
| ἀ           |          540 |           24 |
| ְ            |          540 |           16 |
| 시          |          538 |           24 |
| ォ          |          537 |           24 |
| 라          |          534 |           24 |
| क           |          533 |           24 |
| Ç           |          530 |           16 |
| 本          |          527 |           24 |
| い          |          527 |           24 |
| Δ           |          525 |           16 |
| 理          |          523 |           24 |
| 三          |          522 |           24 |
| 르          |          520 |           24 |
| ბ           |          514 |           24 |
| Π           |          513 |           16 |
| 道          |          513 |           24 |
| ё           |          513 |           16 |
| Я           |          512 |           16 |
| ケ          |          508 |           24 |
| 國          |          505 |           24 |
| Þ           |          501 |           16 |
| ్            |          498 |           24 |
| 利          |          497 |           24 |
| º           |          489 |           16 |
| უ           |          488 |           24 |
| щ           |          488 |           16 |
| स           |          485 |           24 |
| Κ           |          483 |           16 |
| 語          |          482 |           24 |
| ვ           |          481 |           24 |
| 科          |          481 |           24 |
| 和          |          480 |           24 |
| 南          |          476 |           24 |
| 市          |          476 |           24 |
| 主          |          475 |           24 |
| ゴ          |          475 |           24 |
| ้            |          473 |           24 |
| ص           |          473 |           16 |
| 세          |          473 |           24 |
| 会          |          471 |           24 |
| گ           |          466 |           16 |
| ǎ           |          465 |           16 |
| 阿          |          462 |           24 |
| Ε           |          462 |           16 |
| 公          |          460 |           24 |
| 地          |          459 |           24 |
| ώ           |          458 |           16 |
| Ñ           |          457 |           16 |
| 空          |          456 |           24 |
| 기          |          454 |           24 |
| Ж           |          449 |           16 |
| 安          |          447 |           24 |
| 里          |          445 |           24 |
| ப           |          445 |           24 |
| ช           |          444 |           24 |
| 神          |          444 |           24 |
| ך           |          443 |           16 |
| 元          |          443 |           24 |
| ʊ           |          443 |           16 |
| ָ            |          443 |           16 |
| ế           |          442 |           24 |
| ্            |          441 |           24 |
| ʰ           |          441 |           16 |
| ź           |          440 |           16 |
| ர           |          439 |           24 |
| त           |          437 |           24 |
| Í           |          437 |           16 |
| Ι           |          437 |           16 |
| ी            |          433 |           24 |
| ư           |          432 |           16 |
| 物          |          430 |           24 |
| Ц           |          428 |           16 |
| 로          |          426 |           24 |
| ल           |          424 |           24 |
| »           |          424 |           16 |
| 트          |          423 |           24 |
| ซ           |          422 |           24 |
| «           |          422 |           16 |
| 教          |          420 |           24 |
| ザ          |          420 |           24 |
| 区          |          420 |           24 |
| 民          |          420 |           24 |
| 戦          |          419 |           24 |
| 生          |          415 |           24 |
| ペ          |          413 |           24 |
| ệ           |          411 |           24 |
| ู            |          410 |           24 |
| ɹ           |          409 |           16 |
| ホ          |          409 |           24 |
| 월          |          408 |           24 |
| ம           |          407 |           24 |
| る          |          407 |           24 |
| დ           |          405 |           24 |
| 島          |          405 |           24 |
| 二          |          405 |           24 |
| ≡           |          405 |           24 |
| │           |          405 |           24 |
| ‌            |          402 |           24 |
| ●           |          402 |           24 |
| य           |          401 |           24 |
| İ           |          401 |           16 |
| র           |          398 |           24 |
| ′           |          398 |           24 |
| 太          |          397 |           24 |
| ギ          |          397 |           24 |
| 星          |          396 |           24 |
| ַ            |          396 |           16 |
| 대          |          394 |           24 |
| 의          |          393 |           24 |
| კ           |          392 |           24 |
| ヒ          |          391 |           24 |
| پ           |          390 |           16 |
| Ş           |          387 |           16 |
| 자          |          386 |           24 |
| 数          |          385 |           24 |
| ʒ           |          385 |           16 |
| Ν           |          383 |           16 |
| 교          |          383 |           24 |
| 오          |          382 |           24 |
| 드          |          382 |           24 |
| し          |          382 |           24 |
| 新          |          381 |           24 |
| ு            |          378 |           24 |
| ạ           |          378 |           24 |
| Γ           |          378 |           16 |
| ゲ          |          375 |           24 |
| ா            |          374 |           24 |
| 高          |          370 |           24 |
| 北          |          369 |           24 |
| 原          |          368 |           24 |
|             |          368 |           16 |
| व           |          367 |           24 |
| ん          |          365 |           24 |
| ṣ           |          363 |           24 |
| 化          |          361 |           24 |
| ర           |          360 |           24 |
| 주          |          359 |           24 |
| 美          |          356 |           24 |
| ǐ           |          354 |           16 |
| إ           |          352 |           16 |
| ǔ           |          351 |           16 |
| 사          |          350 |           24 |
| े            |          349 |           24 |
| 東          |          349 |           24 |
| Ż           |          349 |           16 |
| 小          |          348 |           24 |
| 機          |          348 |           24 |
| 親          |          348 |           24 |
| 列          |          347 |           24 |
| 平          |          342 |           24 |
| 尼          |          342 |           24 |
| 明          |          342 |           24 |
| 行          |          341 |           24 |
| ட           |          340 |           24 |
| 마          |          339 |           24 |
| 국          |          339 |           24 |
| ไ           |          337 |           24 |
| 프          |          337 |           24 |
| 合          |          337 |           24 |
| த           |          336 |           24 |
| 家          |          336 |           24 |
| Ú           |          334 |           16 |
| 十          |          334 |           24 |
| 治          |          333 |           24 |
| 音          |          331 |           24 |
| 宗          |          329 |           24 |
| な          |          329 |           24 |
| Β           |          326 |           16 |
| ʻ           |          324 |           16 |
| ɐ           |          323 |           16 |
| 院          |          322 |           24 |
| ­            |          321 |           16 |
| ى           |          320 |           16 |
| ˌ           |          320 |           16 |
| Ō           |          320 |           16 |
| 亚          |          319 |           24 |
| ি            |          318 |           24 |
| ų           |          318 |           16 |
| 金          |          317 |           24 |
| 어          |          317 |           24 |
| प           |          317 |           24 |
| ئ           |          315 |           16 |
| آ           |          315 |           16 |
| 레          |          315 |           24 |
| 字          |          315 |           24 |
| გ           |          314 |           24 |
| 武          |          314 |           24 |
| ல           |          313 |           24 |
| 格          |          312 |           24 |
| ヘ          |          309 |           24 |
| ธ           |          307 |           24 |
| 罗          |          307 |           24 |
| う          |          307 |           24 |
| 自          |          306 |           24 |
| ฟ           |          306 |           24 |
| 도          |          305 |           24 |
| ɾ           |          302 |           16 |
| ִ            |          302 |           16 |
|             |          301 |           24 |
| ษ           |          301 |           24 |
| か          |          301 |           24 |
| ु            |          299 |           24 |
| ả           |          297 |           24 |
| ů           |          297 |           16 |
| 女          |          294 |           24 |
| ث           |          294 |           16 |
| ň           |          294 |           16 |
| ヤ          |          294 |           24 |
| 황          |          294 |           24 |
| 表          |          293 |           24 |
| り          |          292 |           24 |
| 크          |          292 |           24 |
| 나          |          290 |           24 |
| Ο           |          290 |           16 |
| Τ           |          288 |           16 |
| 田          |          288 |           24 |
| 京          |          288 |           24 |
| 林          |          287 |           24 |
| ʔ           |          287 |           16 |
| ¥           |          287 |           16 |
| 上          |          285 |           24 |
| 马          |          284 |           24 |
| た          |          284 |           24 |
| द           |          283 |           24 |
| ి            |          283 |           24 |
| ʲ           |          282 |           16 |
| 士          |          281 |           24 |
| 전          |          280 |           24 |
| 政          |          279 |           24 |
| 인          |          279 |           24 |
| ζ           |          277 |           16 |
| 水          |          276 |           24 |
| 方          |          276 |           24 |
| ¡           |          275 |           16 |
| ं            |          273 |           24 |
| ヌ          |          272 |           24 |
| Λ           |          272 |           16 |
| 族          |          271 |           24 |
| ץ           |          271 |           16 |
| 加          |          270 |           24 |
| 球          |          270 |           24 |
| 李          |          269 |           24 |
| 電          |          269 |           24 |
| 光          |          269 |           24 |
| ್            |          268 |           24 |
| と          |          268 |           24 |
| 仁          |          268 |           24 |
| 馬          |          266 |           24 |
| 지          |          266 |           24 |
| 巴          |          265 |           24 |
| 학          |          264 |           24 |
| ゼ          |          264 |           24 |
| 하          |          264 |           24 |
| 비          |          263 |           24 |
| ข           |          263 |           24 |
| ภ           |          263 |           24 |
| ξ           |          263 |           16 |
| 分          |          262 |           24 |
| 卡          |          261 |           24 |
| 语          |          261 |           24 |
| ो            |          261 |           24 |
| 動          |          261 |           24 |
| 川          |          261 |           24 |
| ṇ           |          261 |           24 |
| ग           |          260 |           24 |
| Ю           |          260 |           16 |
| 英          |          260 |           24 |
| ť           |          259 |           16 |
| 多          |          259 |           24 |
| ヨ          |          259 |           24 |
| 定          |          258 |           24 |
| ŏ           |          258 |           16 |
| 四          |          257 |           24 |
| 性          |          255 |           24 |
| 城          |          255 |           24 |
| 事          |          255 |           24 |
| 正          |          254 |           24 |
| І           |          253 |           16 |
| 五          |          253 |           24 |
| 共          |          253 |           24 |
| ű           |          252 |           16 |
| 구          |          252 |           24 |
| 夫          |          252 |           24 |
| ĝ           |          251 |           16 |
| ף           |          251 |           16 |
| 聖          |          250 |           24 |
| ま          |          249 |           24 |
| ய           |          248 |           24 |
| 基          |          248 |           24 |
| 니          |          248 |           24 |
| ʷ           |          248 |           16 |
| 수          |          247 |           24 |
| 県          |          247 |           24 |
| 가          |          246 |           24 |
| 覧          |          246 |           24 |
| ন           |          245 |           24 |
| 画          |          245 |           24 |
| პ           |          245 |           24 |
| ©           |          244 |           16 |
| 的          |          243 |           24 |
| თ           |          242 |           24 |
| ன           |          241 |           24 |
| வ           |          241 |           24 |
| 朝          |          241 |           24 |
| 제          |          240 |           24 |
| 体          |          240 |           24 |
| 布          |          238 |           24 |
| ज           |          238 |           24 |
| さ          |          238 |           24 |
| ơ           |          238 |           16 |
| 白          |          238 |           24 |
| À           |          237 |           16 |
| ї           |          237 |           16 |
| ச           |          237 |           24 |
| に          |          237 |           24 |
| 第          |          236 |           24 |
| ∪           |          236 |           24 |
| ḥ           |          235 |           24 |
| く          |          235 |           24 |
| 바          |          235 |           24 |
| ố           |          235 |           24 |
| は          |          235 |           24 |
| 카          |          234 |           24 |
| き          |          234 |           24 |
| ＝          |          234 |           24 |
| 成          |          234 |           24 |
| 古          |          233 |           24 |
| 타          |          232 |           24 |
| 波          |          229 |           24 |
| ह           |          228 |           24 |
| ）          |          228 |           24 |
| 우          |          226 |           24 |
| 石          |          226 |           24 |
| 奥          |          225 |           24 |
| 兰          |          225 |           24 |
| ≈           |          224 |           24 |
| 노          |          224 |           24 |
| 義          |          224 |           24 |
| ユ          |          224 |           24 |
| て          |          224 |           24 |
| 爾          |          222 |           24 |
| 華          |          222 |           24 |
| ŝ           |          221 |           16 |
| 長          |          221 |           24 |
| 。          |          221 |           24 |
| 史          |          220 |           24 |
| 内          |          220 |           24 |
| 고          |          219 |           24 |
| 河          |          219 |           24 |
| ̪            |          219 |           16 |
| 式          |          218 |           24 |
| ゥ          |          217 |           24 |
| 座          |          217 |           24 |
| 미          |          216 |           24 |
| 성          |          216 |           24 |
| Θ           |          216 |           16 |
| ʼ           |          216 |           16 |
| ồ           |          215 |           24 |
| ÿ           |          215 |           16 |
| স           |          214 |           24 |
| ็            |          214 |           24 |
| 學          |          213 |           24 |
| ľ           |          213 |           16 |
| ض           |          213 |           16 |
| Φ           |          213 |           16 |
| 書          |          213 |           24 |
| 部          |          213 |           24 |
| 社          |          212 |           24 |
| ị           |          212 |           24 |
| 米          |          212 |           24 |
| 通          |          212 |           24 |
| ¢           |          212 |           16 |
| 다          |          211 |           24 |
| 力          |          211 |           24 |
| 港          |          210 |           24 |
| 福          |          209 |           24 |
| 江          |          209 |           24 |
| ব           |          208 |           24 |
| 소          |          208 |           24 |
| 立          |          208 |           24 |
| 木          |          208 |           24 |
| 藤          |          208 |           24 |
| 伊          |          207 |           24 |
| 路          |          207 |           24 |
| ে            |          206 |           24 |
| 航          |          206 |           24 |
| 名          |          206 |           24 |
| 普          |          205 |           24 |
| 目          |          204 |           24 |
| （          |          204 |           24 |
| 手          |          203 |           24 |
| す          |          203 |           24 |
| 에          |          202 |           24 |
| 한          |          201 |           24 |
| ，          |          201 |           24 |
| ब           |          200 |           24 |
| 伯          |          199 |           24 |
| 素          |          199 |           24 |
| 軍          |          199 |           24 |
| 宮          |          199 |           24 |
| 省          |          199 |           24 |
| ա           |          197 |           16 |
| ṭ           |          197 |           24 |
| 界          |          197 |           24 |
| 화          |          195 |           24 |
| Ω           |          195 |           16 |
| ち          |          195 |           24 |
| 紀          |          195 |           24 |
| 토          |          194 |           24 |
| 工          |          194 |           24 |
| ″           |          194 |           24 |
| ậ           |          193 |           24 |
| Â           |          192 |           16 |
| 歌          |          192 |           24 |
| Χ           |          192 |           16 |
| ¯           |          192 |           16 |
| っ          |          192 |           24 |
| ক           |          191 |           24 |
| ম           |          190 |           24 |
| 원          |          190 |           24 |
| ら          |          190 |           24 |
| ¼           |          189 |           16 |
| 記          |          189 |           24 |
| 時          |          188 |           24 |
| ộ           |          188 |           24 |
| 不          |          187 |           24 |
| ་           |          187 |           24 |
| ў           |          186 |           16 |
| 區          |          186 |           24 |
| 동          |          184 |           24 |
| 形          |          184 |           24 |
| 度          |          184 |           24 |
| 司          |          184 |           24 |
| ɨ           |          183 |           16 |
| 베          |          183 |           24 |
| 号          |          182 |           24 |
| 공          |          182 |           24 |
| ĉ           |          181 |           16 |
| Ј           |          180 |           16 |
| 言          |          180 |           24 |
| 威          |          180 |           24 |
| 动          |          179 |           24 |
| お          |          179 |           24 |
| ћ           |          179 |           16 |
| ქ           |          178 |           24 |
| ọ           |          178 |           24 |
| ™           |          178 |           24 |
| 連          |          178 |           24 |
| 比          |          177 |           24 |
| য           |          177 |           24 |
| ֹ            |          177 |           16 |
| 永          |          177 |           24 |
| 八          |          176 |           24 |
| ễ           |          175 |           24 |
| 門          |          175 |           24 |
| 파          |          175 |           24 |
| 台          |          175 |           24 |
| 、          |          175 |           24 |
